KillerID,AgeFirstKill,AgeLastKill,YearBorn,Motive,Sex,Race,Sentence,InsanityPlea
1501,29,40,1949,Robbery or financial gain,Male,Black,Death penalty,Didn't plead
1502,25,25,1972,Enjoyment or power,Male,White,Death penalty,Didn't plead
1503,32,32,1967,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1504,44,44,1959,Enjoyment or power,Male,White,Life,Didn't plead
1505,41,43,1950,Revenge or vigilante justice,Male,Hispanic,Life,Didn't plead
1506,22,22,1952,Robbery or financial gain,Male,Black,Death penalty,Didn't plead
1507,17,18,1972,Robbery or financial gain,Male,Black,Death penalty,Didn't plead
1508,25,25,1959,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1509,22,22,1975,Enjoyment or power,Male,White,Death penalty,Didn't plead
1510,41,41,1951,Enjoyment or power,Male,White,Guilty,Didn't plead
1511,53,53,1940,Escape or avoid arrest,Male,White,Death penalty,NA
1512,16,41,1944,Anger (including mission-oriented killers),Male,Black,Death penalty,Didn't plead
1513,23,24,1961,Robbery or financial gain,Male,Black,Death penalty,Didn't plead
1514,21,21,1959,Anger (including mission-oriented killers),Male,White,Life,Didn't plead
1515,32,33,1959,Enjoyment or power,Male,White,Death penalty,Didn't plead
1516,52,54,1928,Revenge or vigilante justice,Male,White,Life,Didn't plead
1517,24,33,1960,Revenge or vigilante justice,Male,Black,Death penalty,Didn't plead
1518,28,28,1967,Anger (including mission-oriented killers),Male,White,Death penalty,Didn't plead
1519,31,31,1964,"Gang, cult or organised crime",Male,Black,Life,Didn't plead
1520,22,28,1969,Enjoyment or power,Male,Black,Life,Didn't plead
1521,37,42,1940,Unknown,Male,Black,NA,NA
1522,33,47,1943,Unknown,Male,Black,Life,NA
1523,24,25,1974,Unknown,Male,Black,NA,Didn't plead
1524,27,27,1974,Robbery or financial gain,Male,Black,Death penalty,Didn't plead
1525,23,23,1987,Anger (including mission-oriented killers),Male,Black,NA,Didn't plead
1526,22,39,1966,Robbery or financial gain,Male,Black,Death penalty,Didn't plead
1527,23,31,1955,Unknown,Male,Black,Life,Didn't plead
1528,29,31,1940,Anger (including mission-oriented killers),Male,Black,Life,Didn't plead
1529,29,29,1960,Robbery or financial gain,Male,Black,Death penalty,Didn't plead
1530,47,51,1940,Unknown,Male,Black,Life,NA
1531,31,34,1954,Unknown,Male,Black,NA,NA
1532,26,27,1943,Robbery or financial gain,Male,Black,Life,Didn't plead
1533,25,45,1936,Unknown,Male,Black,Life,Didn't plead
1534,35,46,1935,Unknown,Male,Black,NA,NA
1535,34,36,1974,Unknown,Male,Black,NA,Didn't plead
1536,40,63,1937,Anger (including mission-oriented killers),Male,Black,Life,Didn't plead
1537,23,26,1964,Anger (including mission-oriented killers),Male,Black,Life,Didn't plead
1538,23,23,1966,Unknown,Male,Black,Death penalty,Didn't plead
1539,28,28,1947,Enjoyment or power,Male,Black,Death penalty,Didn't plead
1540,20,20,1987,Unknown,Male,Black,Life,Didn't plead
1541,26,32,1975,Robbery or financial gain,Male,Black,Life,Didn't plead
1542,27,34,1953,Enjoyment or power,Male,Black,Died before trial,Didn't plead
1543,22,25,1981,Unknown,Male,Black,Life,Didn't plead
1544,44,45,1955,Robbery or financial gain,Male,Black,Life,Didn't plead
1545,33,57,1946,Unknown,Male,Black,Life,Didn't plead
1546,19,19,1976,Robbery or financial gain,Male,Black,Life,Didn't plead
1547,27,30,1972,Robbery or financial gain,Male,Black,NA,Didn't plead
1548,31,31,1944,Enjoyment or power,Male,Black,Life,Didn't plead
1549,31,33,1978,Anger (including mission-oriented killers),Male,Black,NA,NA
1550,40,40,1970,Anger (including mission-oriented killers),Male,White,Life,Didn't plead
1551,20,20,1966,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1552,24,24,1979,Robbery or financial gain,Male,Black,NA,NA
1553,25,25,1978,Robbery or financial gain,Male,Black,NA,NA
1554,21,21,1982,Robbery or financial gain,Male,Black,NA,NA
1555,16,18,1982,Robbery or financial gain,Male,Black,Life,Didn't plead
1556,44,44,1952,Enjoyment or power,Male,White,Death penalty,Didn't plead
1557,26,34,1966,Enjoyment or power,Male,Hispanic,Life,Didn't plead
1558,27,28,1966,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1559,17,42,1962,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1560,36,39,1957,Anger (including mission-oriented killers),Male,White,Life,Didn't plead
1561,57,57,1954,Robbery or financial gain,Female,Hispanic,NA,Didn't plead
1562,23,38,1964,Anger (including mission-oriented killers),Male,White,Death penalty,Didn't plead
1563,26,26,1972,Unknown,Male,Hispanic,NA,NA
1564,22,33,1971,Anger (including mission-oriented killers),Male,Hispanic,NA,Didn't plead
1565,22,35,1944,Enjoyment or power,Male,White,Death penalty,Didn't plead
1566,42,43,1937,Enjoyment or power,Male,White,Death penalty,Didn't plead
1567,23,23,1966,Escape or avoid arrest,Female,White,Life,Didn't plead
1568,30,37,1952,Enjoyment or power,Male,Black,Life,Didn't plead
1569,32,45,1958,Enjoyment or power,Male,White,Death penalty,Didn't plead
1570,38,38,1946,Enjoyment or power,Male,White,Death penalty,Didn't plead
1571,20,24,1969,Anger (including mission-oriented killers),Male,Black,Death penalty,Didn't plead
1572,50,50,1964,Robbery or financial gain,Male,Black,NA,Didn't plead
1573,26,26,1960,Enjoyment or power,Male,White,Death penalty,Didn't plead
1574,34,34,1960,Robbery or financial gain,Male,White,Death penalty,Unsuccessful
1575,41,42,1956,Enjoyment or power,Male,Black,Life,Didn't plead
1576,28,28,1936,Enjoyment or power,Male,White,Life,Didn't plead
1577,38,38,1948,Robbery or financial gain,Male,Hispanic,Death penalty,Didn't plead
1578,17,17,1952,Anger (including mission-oriented killers),Male,Black,Life,Didn't plead
1579,29,29,1964,Anger (including mission-oriented killers),Male,Black,Life,Didn't plead
1580,42,44,1952,Enjoyment or power,Male,White,Death penalty,Didn't plead
1581,31,32,1963,Enjoyment or power,Male,White,Death penalty,Didn't plead
1582,44,44,1952,Enjoyment or power,Male,Black,Life,Didn't plead
1583,30,32,1944,Enjoyment or power,Male,White,Death penalty,Didn't plead
1584,28,28,1968,Enjoyment or power,Male,Asian,Died before trial,Didn't plead
1585,22,22,1953,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1586,39,40,1955,Enjoyment or power,Male,Hispanic,Life,Didn't plead
1587,22,27,1949,Robbery or financial gain,Male,Black,Death penalty,Didn't plead
1588,32,33,1949,Angel of Death,Female,White,Life,Didn't plead
1589,27,27,1955,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1590,26,32,1971,Enjoyment or power,Male,Black,Death penalty,Didn't plead
1591,26,26,1948,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1592,24,28,1974,Anger (including mission-oriented killers),Male,White,Life,Didn't plead
1593,18,20,1961,"Mental illness (including paranoia, visionary or Munchausen's syndrome)",Female,White,Life,Didn't plead
1594,29,30,1959,Angel of Death,Male,White,Life,Didn't plead
1595,30,30,1947,Robbery or financial gain,Male,Black,Death penalty,Didn't plead
1596,33,34,1939,Robbery or financial gain,Male,White,Life,Didn't plead
1597,23,23,1962,Anger (including mission-oriented killers),Male,Hispanic,Death penalty,Didn't plead
1598,22,25,1964,Robbery or financial gain,Male,Black,Death penalty,Didn't plead
1599,41,46,1929,Enjoyment or power,Male,White,Death penalty,Didn't plead
1600,23,23,1950,Enjoyment or power,Male,White,Life,Didn't plead
1601,29,31,1951,Enjoyment or power,Male,White,Death penalty,Didn't plead
1602,36,38,1943,Enjoyment or power,Male,White,Death penalty,Didn't plead
1603,24,34,1951,Anger (including mission-oriented killers),Male,Black,Death penalty,Didn't plead
1604,64,64,1943,Enjoyment or power,Male,White,Death penalty,Didn't plead
1605,50,50,1959,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1606,40,41,1962,Robbery or financial gain,Male,Black,Death penalty,Didn't plead
1607,26,26,1951,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1608,31,31,1962,Enjoyment or power,Male,White,Death penalty,Didn't plead
1609,34,37,1944,Escape or avoid arrest,Male,White,Death penalty,Didn't plead
1610,25,36,1946,Enjoyment or power,Male,White,Life,Didn't plead
1611,25,29,1950,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1612,57,65,1931,Enjoyment or power,Male,White,Life,Didn't plead
1613,29,30,1958,Enjoyment or power,Male,White,Death penalty,Didn't plead
1614,33,33,1950,Enjoyment or power,Male,White,Death penalty,Didn't plead
1615,35,62,1936,Enjoyment or power,Male,White,Life,Didn't plead
1616,28,28,1976,Enjoyment or power,Male,White,Death penalty,Didn't plead
1617,50,55,1934,Anger (including mission-oriented killers),Male,Black,NA,Didn't plead
1618,25,25,1984,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1619,29,43,1943,Enjoyment or power,Male,Black,Hospitalised prior to trial,Didn't plead
1620,30,30,1955,Anger (including mission-oriented killers),Male,White,Death penalty,Unsuccessful
1621,29,34,1959,Enjoyment or power,Male,White,Life,Didn't plead
1622,30,35,1960,Enjoyment or power,Male,Hispanic,Life,Didn't plead
1623,30,30,1960,Enjoyment or power,Male,Black,Life,Didn't plead
1624,35,43,1949,Enjoyment or power,Male,Hispanic,Died before trial,Didn't plead
1625,25,34,1947,Enjoyment or power,Male,White,Life,Didn't plead
1626,37,38,1952,Enjoyment or power,Male,White,Death penalty,Didn't plead
1627,30,33,1957,Angel of Death,Male,White,Life,Didn't plead
1628,27,32,1954,Anger (including mission-oriented killers),Male,Black,NA,Didn't plead
